;iso3c;year;country.IDEA;Ticker;ID;blpi_tot_q;blpi_level;blpi_tot_miss;blpi_miss_pct;pf_tot_q;pf_level;pf_tot_miss;pf_miss_pct;rs_tot_q;rs_level;rs_tot_miss;rs_miss_pct;os_tot_q;os_level;os_tot_miss;os_miss_pct;idea_tot_q;idea_level;idea_tot_miss;blpi_pct;pf_pct;rs_pct;os_pct;idea_miss_pct;idea_pct;CoC;idea_pct_diff;CoC_diff;wb_region;wb_income;un_region_name;un_sub_region_name;un_intermediate._region_name;un_dev_devping;iso2c;country.wb;gini;lifeexpectancy;GDP;natres;ruralpop;tertiaryschool;region;capital;longitude;latitude;income;lending;country.fotp;FOTP;cname;fh_status;fh_fotpc;dr_sg;dr_eg;hf_trade;sgi_ecgf;fi_index;fi_index_cl;hf_business;hf_efiscore;hf_financ;hf_fiscal;country;wefji;country.cepal;CepalGastos;
12;BOL;2007;Bolivia;BOL;115;12;4;4;0.25;5;0;1;0.17;5;0;0;0;8;2;0;0;27;6;5;0.33;0;0;0.25;0.16;0.22;-0.3593;0;0.0377;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;55.44;64.69412195;13120159976;16.43322131;34.896;38.39057159;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;37;Bolivia;2;11;33.79255676;57.6564064;79.2;NA;6.19;6.162749891;59.9;54.2;60;88.9;Bolivia;2.43613375;BOLIVIA;11.75;10
13;BOL;2008;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;0;0;0;8;2;0;0;27;7;5;0.42;0;0;0.25;0.16;0.26;-0.4917;0.037;-0.1323;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;51.43;65.27380488;16674357239;15.15955532;34.45;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;39;Bolivia;2;12;33.76523209;56.56689453;79;NA;6.14;6.112970005;59;53.1;60;87.8;Bolivia;2.220356763;BOLIVIA;10.93;10
14;BOL;2009;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;0;0;0;8;2;0;0;27;7;5;0.42;0;0;0.25;0.16;0.26;-0.6284;0;-0.1367;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;49.65;65.848;17340028490;7.795566614;34.009;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;42;Bolivia;2;12;34.5956192;55.51917648;81.8;NA;6.36;6.332001504;58.5;53.6;60;84.8;Bolivia;2.062930517;BOLIVIA;12;10
15;BOL;2010;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.4422;0.1481;0.1862;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;NA;66.4077561;19649692876;9.612905301;33.574;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;43;Bolivia;2;12;33.78240967;54.72612762;76.9;NA;6.42;6.391737367;57.3;49.4;50;84.3;Bolivia;2.314803101;BOLIVIA;9.92;10
16;BOL;2011;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.5344;0;-0.0922;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;46.26;66.94256098;23963096439;14.24227237;33.145;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;46;Bolivia;2;12;34.22105408;53.51281738;77.6;NA;6.39;6.361869435;57.2;50;50;83.9;Bolivia;3.019795972;BOLIVIA;12.09;10
17;BOL;2012;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.7097;0;-0.1753;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;46.7;67.44546341;27084515195;13.31837692;32.721;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;47;Bolivia;2;12;33.88424683;57.14401627;74.3;NA;6.48;6.45147323;56.5;50.2;50;87;Bolivia;3.143792287;BOLIVIA;10.8;10
18;BOL;2013;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.5884;0;0.1213;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;48.06;67.91343902;30659334298;12.45395844;32.304;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;48;Bolivia;2;12;35.94444275;58.16870117;74.3;NA;6.52;6.491297138;55.8;47.9;50;88.8;Bolivia;3.104329504;BOLIVIA;13.53;10
19;BOL;2014;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.6393;0;-0.0509;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;48.4;68.344;32996237337;12.8772474;31.893;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;48;Bolivia;2;12;NA;NA;77.6;NA;6.34;6.312089549;53.4;48.4;50;87.1;Bolivia;3.293844938;BOLIVIA;16.61;10
20;BOL;2015;Bolivia;BOL;115;12;5;4;0.25;5;0;1;0.17;5;2;0;0;8;4;0;0;27;11;5;0.42;0;0.4;0.5;0.16;0.41;-0.6834;0;-0.0442;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;NA;NA;32997684515;7.923375075;31.488;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;47;Bolivia;2;13;NA;NA;77.6;NA;NA;NA;53.7;46.8;40;86.8;Bolivia;2.561425511;BOLIVIA;13.75;10
21;BRA;2006;Brazil;BRA;7;16;0;0;0;6;0;0;0;5;0;0;0;8;0;0;0;32;0;0;0;0;0;0;0;0;-0.1359;0;0.0358;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;55.93;72.13173171;1.10764E+12;4.889715313;16.857;NA;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;39;Brazil;1;11;41.59278488;55.16760635;69;NA;6.26;6.276368957;53.5;60.9;50;83.8;Brazil;2.904443996;BRAZIL;1.14;10
22;BRA;2007;Brazil;BRA;7;16;0;0;0;6;0;0;0;5;0;0;0;8;0;0;0;32;0;0;0;0;0;0;0;0;-0.1189;0;0.017;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;55.23;72.41482927;1.39708E+12;5.616740352;16.552;30.78668976;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;42;Brazil;1;11;42.4217453;55.54900742;69.8;NA;6.18;6.196159769;54.2;56.2;40;68.6;Brazil;3.143146231;BRAZIL;1.2;10
23;BRA;2008;Brazil;BRA;7;16;4;0;0;6;2;0;0;5;0;0;0;8;5;0;0;32;11;0;0.25;0.33;0;0.63;0;0.34;-0.0248;0.3438;0.0941;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;54.37;72.69541463;1.69582E+12;6.075338759;16.251;35.56209946;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;42;Brazil;1;11;43.08588791;50.12816238;70.8;NA;6.3;6.316473551;54;56.2;40;68.6;Brazil;3.813907153;BRAZIL;1.12;10
24;BRA;2009;Brazil;BRA;7;16;4;0;0;6;2;0;0;5;0;0;0;8;5;0;0;32;11;0;0.25;0.33;0;0.63;0;0.34;-0.1222;0;-0.0974;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;53.87;72.97802439;1.66702E+12;3.070937783;15.956;37.03839874;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;42;Brazil;1;11;43.4018631;51.03688812;71.6;NA;6.34;6.356578145;54.4;56.7;50;65.8;Brazil;3.588299931;BRAZIL;1.19;10
25;BRA;2010;Brazil;BRA;7;16;10;0;0;6;3;0;0;5;2;0;0;8;7;0;0;32;22;0;0.63;0.5;0.4;0.88;0;0.69;1.00E-04;0.3438;0.1223;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;NA;73.26414634;2.20887E+12;4.45122322;15.665;NA;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;43;Brazil;1;11;43.68373871;51.11090088;69.2;NA;6.54;6.557101115;54.5;55.6;50;68.4;Brazil;3.521275938;BRAZIL;2.48;10
26;BRA;2011;Brazil;BRA;7;16;10;0;0;6;3;0;0;5;2;0;0;8;7;0;0;32;22;0;0.63;0.5;0.4;0.88;0;0.69;0.1494;0;0.1493;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;53.09;73.55234146;2.61457E+12;5.032697793;15.377;43.45983124;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;44;Brazil;1;11;44.39609146;50.23625946;69.8;NA;6.58;6.597205708;54.3;56.3;50;69;Brazil;3.736585823;BRAZIL;1.45;10
27;BRA;2012;Brazil;BRA;7;16;10;0;0;6;3;0;0;5;2;0;0;8;7;0;0;32;22;0;0.63;0.5;0.4;0.88;0;0.69;-0.0676;0;-0.2169;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;52.67;73.83958537;2.46066E+12;4.629009642;15.099;45.2390213;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;44;Brazil;1;11;44.55858231;50.39133835;69.7;NA;6.55;6.567127263;53.7;57.9;60;69.1;Brazil;3.750625836;BRAZIL;1.48;10
28;BRA;2013;Brazil;BRA;7;16;10;0;0;6;3;0;0;5;2;0;0;8;7;0;0;32;22;0;0.63;0.5;0.4;0.88;0;0.69;-0.1169;0;-0.0493;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;52.87;74.12243902;2.46577E+12;4.498932596;14.829;46.44657898;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;46;Brazil;1;11;44.95365524;50.80395508;69.7;NA;6.35;6.366604293;53;57.7;60;70.3;Brazil;3.867225803;BRAZIL;1.54;10
29;BRA;2014;Brazil;BRA;7;16;10;0;0;6;3;0;0;5;2;0;0;8;7;0;0;32;22;0;0.63;0.5;0.4;0.88;0;0.69;-0.3797;0;-0.2628;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;51.48;74.40187805;2.41705E+12;4.104474839;14.567;NA;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;45;Brazil;1;11;NA;NA;69.3;NA;6.27;6.286395105;53.8;56.9;60;68.8;Brazil;3.553158413;BRAZIL;1.69;10
30;BRA;2015;Brazil;BRA;7;16;10;0;0;6;4;0;0;5;2;0;0;8;7;0;0;32;23;0;0.63;0.67;0.4;0.88;0;0.72;-0.4327;0.0313;-0.053;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;BR;Brazil;NA;NA;1.77472E+12;2.956817765;14.313;NA;Latin America & Caribbean (all income levels);Brasilia;-47.9292;-15.7801;Upper middle income;IBRD;Brazil;45;Brazil;1;11;NA;NA;69.6;NA;NA;NA;53.6;56.6;60;68.4;Brazil;3.380492387;BRAZIL;1.97;10
31;CHL;2006;Chile;CHL;32;16;5;0;0;6;2;0;0;4;1;1;0.2;8;6;0;0;31;14;1;0.31;0.33;0.25;0.75;0.03;0.45;1.4299;0;-0.0219;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;51.79;78.97917073;1.54671E+11;21.44034577;12.311;48.61949921;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;26;Chile;1;8;53.67718124;83.59909058;77.6;NA;7.9;7.931210193;68.1;78;70;78.6;Chile;3.992482186;CHILE;2.87;10
32;CHL;2007;Chile;CHL;32;16;5;0;0;6;2;0;0;4;1;1;0.2;8;6;0;0;31;14;1;0.31;0.33;0.25;0.75;0.03;0.45;1.3435;0;-0.0864;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;79.31353659;1.73081E+11;21.42063534;12.074;54.31214905;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;30;Chile;1;8;53.83701324;85.03937531;82.4;NA;8.01;8.041644765;68.2;77.7;70;78.8;Chile;4.247003922;CHILE;3.07;10
33;CHL;2008;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.3277;0.0968;-0.0158;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;79.64090244;1.79627E+11;19.58974307;11.845;57.25669098;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;30;Chile;1;8;53.07588577;85.17268372;82.2;NA;7.94;7.971368219;67.8;78.6;70;78.1;Chile;4.499321883;CHILE;3.61;10
34;CHL;2009;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.3517;0;0.024;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;52;79.96080488;1.71957E+11;14.73897843;11.625;61.87060165;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;29;Chile;1;8;52.58157349;82.74114227;85.8;NA;7.93;7.961328712;66.3;78.3;70;78.2;Chile;4.709189032;CHILE;4.44;10
35;CHL;2010;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.4856;0;0.1339;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;80.27580488;2.17538E+11;18.18618444;11.414;69.67411041;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;30;Chile;1;8;52.43767166;82.31463623;88;NA;7.91;7.941249699;64.8;77.2;70;77.5;Chile;5.363317383;CHILE;3.94;10
36;CHL;2011;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.5228;0;0.0373;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;50.84;80.58697561;2.50832E+11;18.70617481;11.21;75.04631042;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;29;Chile;1;9;52.74947357;80.24256897;88;NA;7.94;7.971368218;67.2;77.4;70;77.7;Chile;5.46739003;CHILE;4.09;10
37;CHL;2012;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.573;0;0.0501;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;80.89485366;2.65232E+11;16.53345587;11.014;79.44690704;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;31;Chile;1;9;52.60528183;78.12608337;82;NA;7.83;7.860933646;68.6;78.3;70;77.4;Chile;5.318310318;CHILE;4;10
38;CHL;2013;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.5318;0;-0.0411;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;50.45;81.19792683;2.77079E+11;15.26770212;10.825;83.81643677;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;31;Chile;1;9;52.21253204;77.42115784;82;6.182143537;7.86;7.891052166;70.5;79;70;77.6;Chile;5.28876435;CHILE;3.66;10
39;CHL;2014;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.4788;0;-0.053;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;81.49619512;2.58733E+11;14.92414458;10.644;86.63069916;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;31;Chile;1;9;NA;NA;82;6.200350099;7.83;7.860933646;69.3;78.7;70;76.5;Chile;5.21278802;CHILE;3.82;10
40;CHL;2015;Chile;CHL;32;16;5;0;0;6;4;0;0;4;2;1;0.2;8;6;0;0;31;17;1;0.31;0.67;0.5;0.75;0.03;0.55;1.2588;0;-0.22;Latin America & Caribbean;High income;Americas;Latin America and the Caribbean;South America;Developing;CL;Chile;NA;NA;2.40796E+11;12.19587705;10.47;NA;Latin America & Caribbean (all income levels);Santiago;-70.6475;-33.475;Upper middle income;IBRD;Chile;31;Chile;1;8;NA;NA;82;6.157227781;NA;NA;69.3;78.5;70;76.5;Chile;5.032412825;CHILE;4.29;10
41;COL;2006;Colombia;COL;55;15;1;1;0.06;6;0;0;0;4;1;1;0.2;8;0;0;0;30;2;2;0.07;0;0.25;0;0.06;0.07;-0.0994;0.0333;0.0167;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;CO;Colombia;NA;72.49143902;1.6259E+11;7.019907046;26.124;31.33164024;Latin America & Caribbean (all income levels);Bogota;-74.082;4.60987;Upper middle income;IBRD;Colombia;61;Colombia;2;15;46.58778763;53.12758636;65.8;NA;6.11;5.927381866;72.1;60.4;70;66.6;Colombia;3.529645369;COLOMBIA;1.42;10
42;COL;2007;Colombia;COL;55;15;1;1;0.06;6;0;0;0;4;1;1;0.2;8;0;0;0;30;2;2;0.07;0;0.25;0;0.06;0.07;-0.1913;0;-0.0919;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;CO;Colombia;NA;72.7055122;2.07416E+11;6.355289089;25.831;32.63217163;Latin America & Caribbean (all income levels);Bogota;-74.082;4.60987;Upper middle income;IBRD;Colombia;57;Colombia;2;16;47.05805588;52.65815353;71.4;NA;6.35;6.16020865;71.8;59.9;60;71.7;Colombia;3.811204013;COLOMBIA;1.93;10
43;COL;2008;Colombia;COL;55;15;4;1;0.06;6;2;0;0;4;2;1;0.2;8;0;0;0;30;8;2;0.27;0.33;0.5;0;0.06;0.27;-0.2189;0.2;-0.0277;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;CO;Colombia;56.04;72.90717073;2.43982E+11;8.358954638;25.54;35.24565125;Latin America & Caribbean (all income levels);Bogota;-74.082;4.60987;Upper middle income;IBRD;Colombia;59;Colombia;2;16;47.49425125;48.32641983;70.8;NA;6.3;6.11170307;72.5;62.2;60;72.8;Colombia;4.081209284;COLOMBIA;2.17;10
