Country,Ticker,ID,year,blpi_tot_q,blpi_level,blpi_tot_miss,blpi_miss_pct,pf_tot_q,pf_level,pf_tot_miss,pf_miss_pct,rs_tot_q,rs_level,rs_tot_miss,rs_miss_pct,os_tot_q,os_level,os_tot_miss,os_miss_pct,idea_tot_q,idea_level,idea_tot_miss,blpi_pct,pf_pct,rs_pct,os_pct,idea_miss_pct,idea_pct,CoC,idea_pct_diff,CoC_diff,wb_region,wb_income,un_region_name,un_sub_region_name,un_intermediate _region_name,un_dev_devping,,,
Andorra,AND,78,2006,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.2770,0.0000,0.0048,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2007,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3008,0.0000,0.0239,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2008,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3206,0.0000,0.0198,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2009,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3451,0.0000,0.0245,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2010,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3330,0.0000,-0.0122,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2011,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3073,0.0000,-0.0256,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2012,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3033,0.0000,-0.0040,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2013,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.2958,0.0000,-0.0075,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2014,16.00,13.00,0.00,0.00,5.00,2.00,1.00,0.17,4.00,1.00,1.00,0.20,7.00,6.00,1.00,0.13,29.00,22.00,3.00,0.81,0.40,0.25,0.86,0.09,0.76,1.2517,0.5172,-0.0441,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2015,16.00,13.00,0.00,0.00,5.00,2.00,1.00,0.17,4.00,1.00,1.00,0.20,7.00,6.00,1.00,0.13,29.00,22.00,3.00,0.81,0.40,0.25,0.86,0.09,0.76,1.2460,0.0000,-0.0057,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Afghanistan,AFG,1,1996,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,-1.8468,,,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,1997,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,,0.0000,,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,1998,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,-1.8363,0.0000,0.0106,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,1999,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,,0.0000,,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2000,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,-1.9138,0.0000,-0.0775,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2001,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,,0.0000,,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2002,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,-1.4264,0.0000,0.4874,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2003,16.00,8.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,32.00,10.00,0.00,0.50,0.00,0.20,0.13,0.00,0.31,-1.5469,0.0000,-0.1205,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2004,16.00,10.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,14.00,0.00,0.63,0.00,0.20,0.38,0.00,0.44,-1.4243,0.1250,0.1225,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2005,16.00,10.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,14.00,0.00,0.63,0.00,0.20,0.38,0.00,0.44,-1.4592,0.0000,-0.0349,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2006,16.00,10.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,14.00,0.00,0.63,0.00,0.20,0.38,0.00,0.44,-1.4230,0.0000,0.0362,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2007,16.00,10.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,14.00,0.00,0.63,0.00,0.20,0.38,0.00,0.44,-1.5854,0.0000,-0.1624,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2008,16.00,14.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,4.00,0.00,0.00,32.00,19.00,0.00,0.88,0.00,0.20,0.50,0.00,0.59,-1.6410,0.1563,-0.0557,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2009,16.00,14.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,4.00,0.00,0.00,32.00,19.00,0.00,0.88,0.00,0.20,0.50,0.00,0.59,-1.5151,0.0000,0.1259,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2010,16.00,14.00,0.00,0.00,6.00,1.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,23.00,0.00,0.88,0.17,0.40,0.75,0.00,0.72,-1.6265,0.1250,-0.1114,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2011,16.00,14.00,0.00,0.00,6.00,1.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,23.00,0.00,0.88,0.17,0.40,0.75,0.00,0.72,-1.5498,0.0000,0.0767,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2012,16.00,14.00,0.00,0.00,6.00,1.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,23.00,0.00,0.88,0.17,0.40,0.75,0.00,0.72,-1.4005,0.0000,0.1493,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2013,16.00,14.00,0.00,0.00,6.00,2.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,24.00,0.00,0.88,0.33,0.40,0.75,0.00,0.75,-1.4327,0.0313,-0.0322,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2014,16.00,14.00,0.00,0.00,6.00,2.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,24.00,0.00,0.88,0.33,0.40,0.75,0.00,0.75,-1.3312,0.0000,0.1015,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Afghanistan,AFG,1,2015,16.00,14.00,0.00,0.00,6.00,2.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,32.00,24.00,0.00,0.88,0.33,0.40,0.75,0.00,0.75,-1.3404,0.0000,-0.0092,South Asia,Low income,Asia,Southern Asia,Southern Asia,Developing,,,
Angola,AGO,28,1996,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,-1.1581,,,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,1997,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,,0.0000,,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,1998,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,-1.3189,0.0000,-0.1608,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,1999,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,,0.0000,,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2000,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,-1.5167,0.0000,-0.1978,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2001,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,,0.0000,,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2002,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,-1.1369,0.0000,0.3798,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2003,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,31.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03,0.00,-1.3038,0.0000,-0.1669,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2004,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.2811,0.1290,0.0227,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2005,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.3284,0.0000,-0.0473,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2006,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.1833,0.0000,0.1452,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2007,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.2939,0.0000,-0.1106,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2008,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.2814,0.0000,0.0125,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2009,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.4184,0.0000,-0.1369,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2010,16.00,0.00,0.00,0.00,5.00,2.00,1.00,0.17,5.00,1.00,0.00,0.00,8.00,1.00,0.00,0.00,31.00,4.00,1.00,0.00,0.40,0.20,0.13,0.03,0.13,-1.3194,0.0000,0.0990,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2011,16.00,5.00,0.00,0.00,5.00,3.00,1.00,0.17,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,31.00,16.00,1.00,0.31,0.60,0.40,0.75,0.03,0.52,-1.3373,0.3871,-0.0179,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2012,16.00,5.00,0.00,0.00,5.00,3.00,1.00,0.17,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,31.00,16.00,1.00,0.31,0.60,0.40,0.75,0.03,0.52,-1.2928,0.0000,0.0445,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2013,16.00,5.00,0.00,0.00,5.00,3.00,1.00,0.17,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,31.00,16.00,1.00,0.31,0.60,0.40,0.75,0.03,0.52,-1.3274,0.0000,-0.0346,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2014,16.00,5.00,0.00,0.00,5.00,3.00,1.00,0.17,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,31.00,16.00,1.00,0.31,0.60,0.40,0.75,0.03,0.52,-1.4526,0.0000,-0.1252,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Angola,AGO,28,2015,16.00,5.00,0.00,0.00,5.00,3.00,1.00,0.17,5.00,2.00,0.00,0.00,8.00,6.00,0.00,0.00,31.00,16.00,1.00,0.31,0.60,0.40,0.75,0.03,0.52,-1.3969,0.0000,0.0557,Sub-Saharan Africa,Upper middle income,Africa,Sub-Saharan Africa,Middle Africa,Developing,,,
Albania,ALB,2,1996,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.0910,,,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,1997,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0000,,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,1998,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.0086,0.0000,0.0824,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,1999,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0000,,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2000,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.8245,0.0000,0.1841,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2001,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0000,,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2002,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.8568,0.0000,-0.0323,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2003,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.7688,0.0000,0.0880,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2004,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.6717,0.0000,0.0971,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2005,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.7449,0.0000,-0.0733,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2006,16.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.8188,0.0000,-0.0739,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2007,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.6767,0.2813,0.1421,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2008,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.5451,0.0000,0.1317,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2009,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.4931,0.0000,0.0520,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2010,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.4879,0.0000,0.0052,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2011,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.6466,0.0000,-0.1587,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2012,16.00,2.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,1.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,9.00,0.00,0.13,0.50,0.20,0.38,0.00,0.28,-0.7034,0.0000,-0.0569,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2013,16.00,3.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,11.00,0.00,0.19,0.50,0.40,0.38,0.00,0.34,-0.7015,0.0625,0.0019,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
Albania,ALB,2,2014,16.00,3.00,0.00,0.00,6.00,3.00,0.00,0.00,5.00,2.00,0.00,0.00,8.00,3.00,0.00,0.00,32.00,11.00,0.00,0.19,0.50,0.40,0.38,0.00,0.34,-0.5529,0.0000,0.1486,Europe & Central Asia,Upper middle income,Europe,Southern Europe,Southern Europe,Developed,,,
