,,"Bans and limits on private income",,,,,,,,,,,,,,,,,,"Public funding",,,,,,,,,,"Regulations of spending",,,,,,"Reporting, oversight and sanctions",,,,,,,,,
"Colombia",CO,"Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Not applicable","Yes","No contribution made by an individual can exceed the 10% of the expenses limit for each individual candidacy.","Yes","No contribution made by an individual can exceed the 10% of the expenses limit for each individual candidac","Yes, both regularly provided funding and in relation to campaigns","Representation in elected bodyShare of votes in next electionShare of seats in next electionParticipation in election","EqualFlat rate by votes receivedProportional to seats received","Ongoing party activitiesIntra-party institution","Yes","EqualShare of seats","Yes","Free or subsidised transportFree or subsidised postage cost","Yes","Yes, funds earmarked for gender activities","Yes","No data","Yes","The limit is set per candidate","Yes","Limit depends on the type of election and population of each electoral area.","Yes","Yes","No","Yes","Sometimes","EMB","Yes, EMB","None","FinesLoss of public fundingDeregistration of partyLoss of nomination of candidateLoss of elected officeOther",
"Costa Rica",CR,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","45 times minimum wage","No","Not applicable","Yes","Not applicable","Yes, both regularly provided funding and in relation to campaigns","Representation in elected bodyShare of votes in next electionFiling of reports after elections and clearly stating  percentage of contribution allocated to training and political organization.","Proportional to votes received","No","No","Not applicable","No","No","No","Yes, funds earmarked for gender activitiesYes, other","Yes","Yes","No","Not applicable","No","Not applicable","Yes","Yes","No","Yes","Yes","EMB","Yes, EMB","Other","FinesPrison",
"Dominica",DM,"No","No","No","No","No","No","No","No","No","No","No data","No","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","No","No","Not applicable","No","Yes","Yes","No","Not applicable","No","Not applicable","No","No","No","Not applicable","Not applicable","Not applicable","No","None","FinesPrisonLoss of nomination of candidateLoss of political rightsOther",
"Dominican Republic",DO,"Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Not applicable","No","Not applicable","No","Not applicable","Yes, regularly provided funding","Share of votes in previous electionParticipation in election","EqualProportional to votes received","No","Yes","Number of candidates","No","No","No","No","Yes","Yes","No","Not applicable","No","Not applicable","No data","Yes","No","No","No","EMB","No","Auditing agency","None",
"Ecuador",EC,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","200 shopping baskets annually, or an amount equal to 10% of the annual budget of a given political organization","Yes","5% of the spending limit for every public office contested","Yes","Limit is 5% of the spending limit for every public office contested","Yes, both regularly provided funding and in relation to campaigns","Share of votes in previous electionShare of seats in previous election","EqualProportional to votes received","Campaign spendingOngoing party activities","Yes","Equal","Yes","Tax relief","No","No","Yes","Yes","Yes","The limit varies from one office to another.","Yes","The limit varies from one office to another.","Yes","Yes","Yes","Yes","Yes","EMB","Yes, EMBYes, other","Auditing agency","FinesLoss of public fundingDeregistration of partyLoss of political rightsSuspension of political partyOther",
"El Salvador",SV,"No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Not applicable","No","Not applicable","No","Not applicable","Yes, in relation to campaigns","Participation in electionRegistration as a political party","Flat rate by votes received","No","Yes","EqualOther","No","Tax relief","No","No","Yes","Yes","No","Not applicable","No","Not applicable","No","No","No","Not applicable","Not applicable","Not applicable","No","EMBCourt","PrisonLoss of political rightsOther",
"Grenada",GD,"No data","No","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","No","No","Not applicable","No","Yes","No data","No","Not applicable","Yes","Limit depends on the number of registrated voters in the constituency","No","No","No","Not applicable","Not applicable","Not applicable","Yes, EMB","No data","No data",
"Guatemala",GT,"Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Limit is 10% of the limit imposed on campaign expenses.","Regular limit applies","Not applicable","Yes","Not applicable","Yes, regularly provided funding","Representation in elected bodyShare of votes in previous election","Flat rate by votes received","No","Yes","Equal","No","Space for campaign materialsPremises for campaign meetingsFree or subsidised postage cost","No","No","No","Yes","Yes","An amount equal to the result of multiplying the number of registered voters by the equivalent in Quetzals to one US Dollar.","No data","No data","Yes","No","No","Yes","Yes","EMB","No","None","FinesDeregistration of partySuspension of political party",
"Guyana",GY,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","No","No data","Not applicable","No","Yes","No data","No data","No data","Yes","50,000 dollars [I$ 440] multiplied by the number of candidates, not exceeding 53 on the list of candidates","No data","Yes","Yes","Yes","Yes","EMB","No data","No data","FinesPrisonLoss of nomination of candidateLoss of political rightsOther",
"Haiti",HT,"No data","No data","No data","No data","No data","No data","No data","No data","No, but specific limit","No, but specific limit","No data","Yes","No data","No data","Yes","2 million gourdes [I$118,000] per donor and election","Yes","2 million gourdes [I$118,000] per donor and election","Yes, in relation to campaigns","Signatures of 40,000 citizens","Proportional to candidates fielded","Campaign spendingPolitical education","No","Not applicable","Yes","Tax relief","Yes","No","No data","Yes","No","Not applicable","No","Not applicable","No","Yes","Yes","No data","Sometimes","EMBMinistry","Yes, EMB","Other","FinesPrisonDeregistration of partyOther",
"Honduras",HN,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Not applicable","No","Not applicable","No","Not applicable","Yes, in relation to campaigns","Participation in election","Proportional to seats received","No","No","Not applicable","No","Tax relief","No","Yes, other","Yes","Yes","No","Not applicable","No","Not applicable","Yes","No","Yes","Yes","No","EMB","No","None","FinesLoss of political rightsOther",
"Jamaica",JM,"No","No","No","No","No","No","No","No","No","No","No","No","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","No","No","Not applicable","No","Yes","No data","No","Not applicable","Yes","The expense limit is 3 million [I$ 76,000] from the issue of the writ for the election.","No","No","Yes","Yes","No","EMB","No","None","Loss of nomination of candidateLoss of political rightsOther",
"Mexico",MX,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Not applicable","No","Not applicable","Yes","Not applicable","Yes, both regularly provided funding and in relation to campaigns","Share of votes in next electionRegistration as a political party","EqualProportional to votes received","Campaign spendingOngoing party activitiesIntra-party institution","Yes","EqualShare of votes in preceding election","No","Tax reliefFree or subsidised postage cost","No","Yes, funds earmarked for gender activities","Yes","Yes","Yes","Limit varies for each federal public office.","Yes","Limit varies for each federal public office, see source.","Yes","Yes","Yes","Yes","Yes","EMB","Yes, EMB","None","FinesLoss of public fundingDeregistration of partyLoss of political rightsOther",
"Nicaragua",NI,"No","No","No","No","No","No","No","No","Yes","No data","Yes","No","No","Not applicable","No","Not applicable","No","Not applicable","Yes, in relation to campaigns","Representation in elected bodyShare of votes in next election","Proportional to votes received","No","Yes","Equal","No","Tax relief","No","No","Yes","Yes","No","Not applicable","No","Not applicable","Yes","No","No","Yes","No","EMBMinistryAuditing agency","No","None","FinesForfeitureDeregistration of partyLoss of nomination of candidateOther",
"Panama",PA,"Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No data","Yes","No","Not applicable","No","Not applicable","No","Not applicable","Yes, both regularly provided funding and in relation to campaigns","Representation in elected bodyShare of votes in next electionParticipation in electionRegistration as a political party","EqualProportional to votes received","Campaign spendingOngoing party activitiescivic and political education and women training","Yes","Equal","No","Tax reliefFree or subsidised postage cost","No","Yes, funds earmarked for gender activities","Yes","Yes","No","Not applicable","No","Not applicable","Yes","Yes","Yes","No","Yes","EMB","Yes, EMB","Auditing agency","FinesLoss of public funding",
"Paraguay",PY,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","6 times the minimum monthly salary/person","Yes","5,000 minimum wages (same limit for individuals and corporations)","No","Not applicable","Yes, both regularly provided funding and in relation to campaigns","Representation in elected bodyShare of votes in previous electionRegistration as a political party","Flat rate by votes receivedProportional to seats received","Campaign spending","Yes","Equal","No","Tax relief","No","No","Yes","Yes","Yes","10% of minimum wage for each enfranchised voter""","Yes","10% of minimum wage for each enfranchised voter.","Yes","Yes","Yes","No","Yes","EMB","Yes, EMB","None","FinesLoss of public fundingDeregistration of party",
"Peru",PE,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","No, but specific limit","Yes","No data","Yes","Yes","Annual limit is 200 tax units","Regular limit applies","Not applicable","Yes","30 tax units for cash donations to candidates","Yes, regularly provided funding","Representation in elected body","EqualProportional to votes received","Ongoing party activities","Yes","EqualShare of seats","No","Tax relief","No","No","Yes","Yes","No","Not applicable","No","Not applicable","Yes","Yes","Yes","Yes","Yes","EMB","Yes, EMB","None","FinesLoss of public funding",
"Saint Kitts and Nevis",KN,"No","No","No","No","No","No","No","No","No","No","No data","No","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","No","Tax relief","Not applicable","No","No data","No data","No","Not applicable","No","Not applicable","No","No","No","Not applicable","Not applicable","Not applicable","No","None","No data",
"Saint Lucia",LC,"No","No","No","No","No","No","No","No","No","No","No data","No","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","Yes","Share of seatsOther","Yes","Elected parliamentarians recieve an equal amount of money to maintain constituency branches","Not applicable","No","Yes","No data","No","Not applicable","No","Not applicable","No","No","No","Not applicable","Not applicable","Not applicable","No","None","FinesPrisonLoss of political rights",
"Saint Vincent and The Grenadines",VC,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No","Not applicable","No","Not applicable","No","Not applicable","Yes, regularly provided funding","Representation in elected body","No data","No data","No","Not applicable","No","No data","No data","No data","Yes","No data","No","Not applicable","No","No data","No","No","No","Not applicable","Not applicable","Not applicable","No data","No data","No data",
"Suriname",SR,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","Yes","Equal","No data","No data","Not applicable","No","No data","No data","No","Not applicable","No","Not applicable","Yes","Yes","Yes","Yes","No data","Other","No","No data","None",
"Trinidad and Tobago",TT,"No data","No data","No","No data","No data","No data","No data","No data","No data","Yes","No data","No data","No","Not applicable","No","Not applicable","Yes","Limit is TT$ 5,000 [I$ 1,400] for general elections","No","Not applicable","Not applicable","Not applicable","Yes","Equal","No data","No data","Not applicable","No data","Yes","No data","No","Not applicable","Yes","TTD 50,000  [I$ 14,000] (Parliamentary election); TTD 25,000 [I$ 6,900] (Municipal Council or the Tobago House of Assembly election).","No","No","Yes","Yes","Yes","EMB","No data","No data","FinesPrison",
"United States",US,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No, but specific limit","No, but specific limit","Yes","Yes","Yes","There are different limits depending on the type of the contributor.","Regular limit applies","Not applicable","Yes","There are different limits depending on who the contributor is.","Yes, in relation to campaigns","Share of votes in previous electionShare of votes in next electionLimiting campaign spending","Equal","Presidential nominating convention","No","Not applicable","No","Tax relief","No","No","Yes","Yes","Yes","The limit for coordinated expenditure is an amount equal to 2 cents multiplied by the voting age population of the United States.","No","Not applicable","Yes","Yes","Yes","Yes","Sometimes","EMB","Yes, EMBYes, ministry","Other","FinesPrisonForfeiture",
"Uruguay",UY,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No, but specific limit","No, but specific limit","No","Yes","Yes","Annual limit is UI 300,000 [I$ 17,000] (10,000 [I$ 580] for corporations with public service provision contracts)","Regular limit applies","Not applicable","Yes","Limit is 300,000 UI [I$ 17,000] yearly, 10,000 UI [I$ 580] for corporations with public service provision contracts.","Yes, both regularly provided funding and in relation to campaigns","Representation in elected body","Flat rate by votes received","No","Yes","Equal","Yes","Tax relief","No","No","Yes","Yes","No","Not applicable","No","Not applicable","Yes","Yes","Yes","Yes","Yes","EMB","Yes, EMB","None","FinesOther",
"Venezuela",VE,"Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","Not applicable","Not applicable","No","No data","Yes","No","Not applicable","No","No","Yes","No","Not applicable","No","Not applicable","Yes","Yes","Yes","No","Yes","EMB","Yes, EMB","Auditing agencyOther","Fines",
